TaxID,Name,Pathogenic associations
1512,Clostridium symbiosum,"Раневые инфекции, бактериемия, абсцессы"
1559,Clostridium tertium,"Раневые инфекции, бактериемия, абсцессы"
1513,Clostridium tetani,Столбняк
39489,Clostridium moniliforme,"Раневые инфекции, бактериемия, абсцессы"
83340,Clostridium nitritogenes,"Раневые инфекции, абсцессы, септицемия, периодонтиты"
99675,Clostridium putrefaciens,"Раневые инфекции, бактериемия, абсцессы"
178337,Cohnella hongkongensis,Бактериемия
74426,Collinsella aerofaciens,Флора кишечника
1870987,Collinsella vaginalis,Инфекции уретрального тракта
225992,Comamonas kerstersii,"Бактериемия, абдоминальные инфекции"
32013,Comamonas terrigena,"Бактериемия, инфекции уретрального тракта, эндокардиты, раневые инфекции, абдоминальные абсцессы, перитониты, менингиты. Инфекции у лиц с нейтропенией. Ассоциирован с укусами животных"
285,Comamonas testosteroni,"Бактериемия, инфекции уретрального тракта, эндокардиты, раневые инфекции, абдоминальные абсцессы, перитониты, менингиты"
100884,Coprobacillus cateniformis,Бактериемия
38284,Corynebacterium accolens,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
38286,Corynebacterium afermentans,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
43765,Corynebacterium amycolatum,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
163202,Corynebacterium appendicis,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
1190508,Corynebacterium aquatimens,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
42817,Corynebacterium argentoratense,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
191610,Corynebacterium atypicum,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
169292,Corynebacterium aurimucosum,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
44750,Corynebacterium auris,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
99807,Corynebacterium auriscanis,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
2014537,Corynebacterium belfantii,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
36808,Corynebacterium bovis,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
679663,Corynebacterium canis,"Раневые инфекции, инфекции ассоциированные с укусами"
71254,Corynebacterium confusum,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
53374,Corynebacterium coyleae,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
2014528,Corynebacterium dentalis,Периодонтиты
1717,Corynebacterium diphtheriae,"Дифтерия, инфекции кожи"
61592,Corynebacterium durum,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
108486,Corynebacterium falsenii,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
1852390,Corynebacterium fournieri,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
556548,Corynebacterium freiburgense,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
134034,Corynebacterium freneyi,"Септицемия, перитониты, инфекции уретрального тракта, глазные инфекции, эндокардиты, остеомиелиты, септические артрииты, менингиты, абсцессы. Нозокмиальные вспышки. Может быть лабораторным контаминантом"
39791,Corynebacterium glucuronolyticum,Нозокомиальные инфекции. Инфекции уретрального тракта. Может быть лабораторным контаминантом
2041036,Corynebacterium gottingense,Нозокомиальные инфекции. Может быть лабораторным контаминантом
394964,Corynebacterium hansenii,Редкий
156978,Corynebacterium imitans,Нозокомиальные инфекции. Может быть лабораторным контаминантом
38289,Corynebacterium jeikeium,Нозокомиальные инфекции. Может быть лабораторным контаминантом
161879,Corynebacterium kroppenstedtii,Нозокомиальные инфекции. Может быть лабораторным контаминантом
35755,Corynebacterium kutscheri,Нозокомиальные инфекции. Может быть лабораторным контаминантом
161889,Corynebacterium lipophiloflavum,Нозокомиальные инфекции. Может быть лабораторным контаминантом
2804918,Corynebacterium lipophilum,Нозокомиальные инфекции. Может быть лабораторным контаминантом
1544413,Corynebacterium lowii,Нозокомиальные инфекции. Может быть лабораторным контаминантом
38290,Corynebacterium macginleyi,Нозокомиальные инфекции. Может быть лабораторным контаминантом
441501,Corynebacterium massiliense,Нозокомиальные инфекции. Может быть лабораторным контаминантом
43768,Corynebacterium matruchotii,Нозокомиальные инфекции. Может быть лабораторным контаминантом
38301,Corynebacterium minutissimum,"Эритразма, бактериемия, эндокардиты"
57171,Corynebacterium mucifaciens,Нозокомиальные инфекции. Может быть лабораторным контаминантом
38302,Corynebacterium mycetoides,"Язва тропическая, септицемия"
1544416,Corynebacterium oculi,Глазные инфекции
1288393,Corynebacterium pilbarense,Редкий
35756,Corynebacterium pilosum,Нозокомиальные инфекции. Может быть лабораторным контаминантом
43769,Corynebacterium propinquum,Нозокомиальные инфекции. Может быть лабораторным контаминантом
37637,Corynebacterium pseudodiphtheriticum,"Инфекции уретрального тракта, эндокардиты, лимфаденопатия, некротизирующий трахеит"
1719,Corynebacterium pseudotuberculosis,"Лимфадениты, легочные инфекции. Зооноз (с/х животные)"
598660,Corynebacterium pyruviciproducens,Нозокомиальные инфекции. Может быть лабораторным контаминантом
1724,Corynebacterium renale,Нозокомиальные инфекции. Может быть лабораторным контаминантом
258224,Corynebacterium resistens,Нозокомиальные инфекции. Может быть лабораторным контаминантом
156976,Corynebacterium riegelii,Нозокомиальные инфекции. Может быть лабораторным контаминантом
2719119,Corynebacterium rouxii,Редкий
2594913,Corynebacterium sanguinis,Нозокомиальные инфекции. Может быть лабораторным контаминантом
146827,Corynebacterium simulans,Нозокомиальные инфекции. Может быть лабораторным контаминантом
161899,Corynebacterium singulare,Нозокомиальные инфекции. Может быть лабораторным контаминантом
489915,Corynebacterium sputi,Легочные инфекции
43770,Corynebacterium striatum,Нозокомиальные инфекции. Может быть лабораторным контаминантом
161902,Corynebacterium sundsvallense,Нозокомиальные инфекции. Может быть лабораторным контаминантом
62629,Corynebacterium thomssenii,Нозокомиальные инфекции. Может быть лабораторным контаминантом
441500,Corynebacterium timonense,Нозокомиальные инфекции. Может быть лабораторным контаминантом
38304,Corynebacterium tuberculostearicum,Нозокомиальные инфекции. Может быть лабораторным контаминантом
302449,Corynebacterium tuscaniense,Нозокомиальные инфекции. Может быть лабораторным контаминантом
65058,Corynebacterium ulcerans,"Дифтериеподобные заболевания, фарингиты"
43771,Corynebacterium urealyticum,Нозокомиальные инфекции. Может быть лабораторным контаминантом
401472,Corynebacterium ureicelerivorans,Бактериемия
38305,Corynebacterium vitaeruminis,Ассоциирован с аневризмой аорты
