Streptomyces griseus,Zoonotic
Tenacibaculum dicentrarchi,Not zoonotic
Tissierella praeacuta,Zoonotic
Trueperella abortisuis,Not zoonotic
Trueperella bernardiae,Zoonotic
Vibrio fluvialis,Zoonotic
Vibrio furnissii,Zoonotic
Vibrio ponticus,Not zoonotic
Vibrio scophthalmi,Not zoonotic
Waddlia chondrophila,Zoonotic
Weissella ceti,Not zoonotic
Weissella confusa,Zoonotic
Wolinella succinogenes,Zoonotic
Actinobacillus   rossii,Not zoonotic
Bacteroides   coagulans,Not zoonotic
Bacteroides   pectinophilus,Not zoonotic
Clostridium   aldenense,Not zoonotic
Clostridium   amygdalinum,Not zoonotic
Clostridium   asparagiforme,Not zoonotic
Clostridium   bolteae,Not zoonotic
Clostridium   citroniae,Not zoonotic
Clostridium   clostridioforme,Not zoonotic
Clostridium   innocuum,Not zoonotic
Clostridium   lavalense,Not zoonotic
Clostridium   sphenoides,Not zoonotic
Enterobacter   aerogenes,Not zoonotic
Eubacterium   contortum,Not zoonotic
Eubacterium   minutum,Not zoonotic
Eubacterium   nodatum,Not zoonotic
Eubacterium   rectale,Not zoonotic
Eubacterium   saphenum,Not zoonotic
Eubacterium   sulci,Not zoonotic
Eubacterium   tenue,Not zoonotic
Eubacterium   yurii,Not zoonotic
Haemophilus   ducreyi,Not zoonotic
Haemophilus   felis,Not zoonotic
Haemophilus   parasuis,Not zoonotic
Ruminococcus   gnavus,Not zoonotic
Abiotrophia defectiva,Not zoonotic
Acetatifactor muris,Not zoonotic
Acetitomaculum ruminis,Not zoonotic
Acetivibrio ethanolgignens,Not zoonotic
Acholeplasma axanthum,Not zoonotic
Acholeplasma cavigenitalium,Not zoonotic
Acholeplasma granularum,Not zoonotic
Acholeplasma hippikon,Not zoonotic
Acholeplasma parvum,Not zoonotic
Achromobacter aegrifaciens,Not zoonotic
Achromobacter animicus,Not zoonotic
Achromobacter anxifer,Not zoonotic
Achromobacter denitrificans,Not zoonotic
Achromobacter dolens,Not zoonotic
Achromobacter insolitus,Not zoonotic
Achromobacter insuavis,Not zoonotic
Achromobacter marplatensis,Not zoonotic
Achromobacter mucicolens,Not zoonotic
Achromobacter piechaudii,Not zoonotic
Achromobacter pulmonis,Not zoonotic
Achromobacter ruhlandii,Not zoonotic
Achromobacter spanius,Not zoonotic
Acidaminococcus intestini,Not zoonotic
Acinetobacter baylyi,Not zoonotic
Acinetobacter bereziniae,Not zoonotic
Acinetobacter guillouiae,Not zoonotic
Acinetobacter gyllenbergii,Not zoonotic
Acinetobacter haemolyticus,Not zoonotic
Acinetobacter junii,Not zoonotic
Acinetobacter nosocomialis,Not zoonotic
Acinetobacter parvus,Not zoonotic
Acinetobacter pittii,Not zoonotic
Acinetobacter radioresistens,Not zoonotic
Acinetobacter schindleri,Not zoonotic
Acinetobacter seifertii,Not zoonotic
Acinetobacter ursingii,Not zoonotic
Actinobacillus anseriformium,Not zoonotic
Actinobacillus arthritidis,Not zoonotic
Actinobacillus hominis,Not zoonotic
Actinobacillus indolicus,Not zoonotic
Actinobacillus minor,Not zoonotic
Actinobacillus porcinus,Not zoonotic
Actinobacillus scotiae,Not zoonotic
Actinobacillus seminis,Not zoonotic
Actinobacillus succinogenes,Not zoonotic
Actinobaculum massiliense,Not zoonotic
Actinobaculum suis,Not zoonotic
Actinomadura madurae,Not zoonotic
Actinomadura meyerae,Not zoonotic
Actinomadura pelletieri,Not zoonotic
Actinomadura sputi,Not zoonotic
Actinomyces bowdenii,Not zoonotic
Actinomyces cardiffensis,Not zoonotic
Actinomyces dentalis,Not zoonotic
Actinomyces europaeus,Not zoonotic
Actinomyces funkei,Not zoonotic
Actinomyces georgiae,Not zoonotic
Actinomyces gerencseriae,Not zoonotic
Actinomyces graevenitzii,Not zoonotic
Actinomyces hominis,Not zoonotic
Actinomyces hongkongensis,Not zoonotic
Actinomyces howellii,Not zoonotic
Actinomyces johnsonii,Not zoonotic
Actinomyces massiliensis,Not zoonotic
Actinomyces nasicola,Not zoonotic
Actinomyces neuii,Not zoonotic
Actinomyces odontolyticus,Zoonotic
Actinomyces oricola,Not zoonotic
Actinomyces oris,Not zoonotic
Actinomyces radicidentis,Not zoonotic
Actinomyces radingae,Not zoonotic
Actinomyces slackii,Not zoonotic
Actinomyces suimastitidis,Not zoonotic
Actinomyces timonensis,Not zoonotic
Actinomyces turicensis,Zoonotic
Actinomyces urogenitalis,Not zoonotic
Actinomyces vaccimaxillae,Not zoonotic
Actinotignum sanguinis,Not zoonotic
Actinotignum schaalii,Not zoonotic
Actinotignum urinale,Not zoonotic
Adlercreutzia equolifaciens,Not zoonotic
Aerococcus christensenii,Not zoonotic
Aerococcus sanguinicola,Not zoonotic
Aerococcus suis,Not zoonotic
Aerococcus urinae,Not zoonotic
Aerococcus urinaeequi,Not zoonotic
Aerococcus urinaehominis,Not zoonotic
Aerococcus vaginalis,Not zoonotic
Aeromonas diversa,Not zoonotic
Aeromonas enteropelogenes,Not zoonotic
Aeromonas sanarellii,Not zoonotic
Aeromonas taiwanensis,Not zoonotic
Aeromonas tecta,Not zoonotic
Afipia broomeae,Not zoonotic
Afipia clevelandensis,Not zoonotic
Afipia felis,Not zoonotic
Aggregatibacter aphrophilus,Not zoonotic
Aggregatibacter segnis,Not zoonotic
Agrobacterium tumefaciens,Not zoonotic
Aliivibrio wodanis,Not zoonotic
Alishewanella fetalis,Not zoonotic
Alistipes finegoldii,Not zoonotic
Alistipes indistinctus,Not zoonotic
Alistipes onderdonkii,Not zoonotic
Alistipes putredinis,Not zoonotic
Alistipes shahii,Not zoonotic
Alistipes timonensis,Not zoonotic
